code;description;type;family;a;b
DEAFSI;Room for hearing impaired guests;HANDI;R;false;false
DISABL;Comply w\/​ Americ. Disability Act;HANDI;H;false;false
DOORS;Bathroom doors 32 inches wide;HANDI;H;false;false
HANDIC;Reduced mobility facilities;HANDI;H;false;false
LEVEL;Ramp access;HANDI;H;false;false
WHEEL;Wheelchair access;HANDI;H;false;false
EQBATH;Accessible bathroom;DISABR;R;false;false
KNOCK;Knock light for hearing impaired;DISABR;R;false;false
PHON4;Phone light for hearing impaired;DISABR;R;false;false
VISUAA;Vis. alarm for hearing impaired;DISABR;R;false;false
AMBREA;ALL PLUS Brkfst Asia;ADBREA;B;false;false
DMBREA;ACCORPLUS Breakfast;ADBREA;B;false;false
MBKCHD;Children Breakfast;ADBREA;H;false;false
MBKEXP;Express Breakfast;ADBREA;H;false;false
MBKGL;Morning Breakfast Leisure Groups;ADBREA;H;false;false
MBKSEA;Special Breakfast Rate;ADBREA;H;false;false
MBKWEB;Buffet Breakfast;ADBREA;H;false;false
MBREAL;NOT USE;ADBREA;B;false;false
MBRINC;Breakfast included in the price;ADBREA;H;false;false
MBUFF;Buffet breakfast;ADBREA;H;false;false
SUPHB;Half Board;ADBREA;S;false;false
SUPHBD;Light cuisine half board supp;ADBREA;S;false;false
SUPPC;Full Board;ADBREA;S;false;false
SUPPCD;Healthy Full Board;ADBREA;S;false;false
ERCHK2;Early Check In - 2 Hours;ADCHEC;H;false;false
ERCHK4;Early Check In 4 Hours;ADCHEC;H;false;false
ERYCHK;Early Check In;ADCHEC;H;false;false
LACHK2;LATE CHECK OUT - 2 HOURS;ADCHEC;H;false;false
LACHK4;LATE CHECK OUT - 4 HOURS;ADCHEC;H;false;false
LATCHK;Late Check Out;ADCHEC;H;false;false
AIDRNK;All Inclusive Drinks;ADMP;Z;false;false
AIMP01;All Inclusive;ADMP;Z;false;false
AMPFB;ALL PLUS Full Board Asia;ADMP;H;false;false
AMPHB;ALL PLUS Half Board Asia;ADMP;H;false;false
APACKA;ALL PLUS Package All Inclusive;ADMP;H;false;false
BBMP01;Bed and Breakfast;ADMP;Z;false;false
DMPFB;ACCORPLUS Full Board;ADMP;H;false;false
DMPHB;ACCORPLUS Half Board;ADMP;H;false;false
DPACKA;ACCORPLUS All inclusive;ADMP;H;false;false
FBMP01;Full Board;ADMP;Z;false;false
HBMP01;Half Board;ADMP;Z;false;false
MDIN;Dinner;ADMP;H;false;false
MPAL;All Inclusive;ADMP;H;false;false
MPFB;Full Board;ADMP;H;false;false
MPHB;Half Board;ADMP;H;false;false
PACKAI;All inclusive Package;ADMP;H;false;false
MENAD1;Restaurant Menu;ADMENU;H;false;false
MENCH1;Children\s Restaurant Menu;ADMENU;H;false;false
MENCH2;Children\s Restaurant menu;ADMENU;H;false;false
MENGL1;Classic menu - Leisure Group;ADMENU;H;false;false
MENGL2;2 course menu - Leisure Group;ADMENU;H;false;false
MENGL3;3 course menu - Leisure Group;ADMENU;H;false;false
MENGL4;4 course menu - Leisure Group;ADMENU;H;false;false
FLWS;Flowers;ADUNIQ;R;false;false
FRTBKT;Fruit basket;ADUNIQ;R;false;false
RECRCL;ALL Resort - Credit for Classic;ADUNIQ;H;false;false
RECRGD;ALL Resort - Credit for Gold;ADUNIQ;H;false;false
RECRPL;ALL Resort  Credit for Platinum;ADUNIQ;H;false;false
RECRSI;ALL Resort - Credit for Silver;ADUNIQ;H;false;false
REDWIN;Red Wine;ADUNIQ;R;false;false
ROSWIN;Ros\u00E9 Wine;ADUNIQ;R;false;false
UNCHAM;Champagne;ADUNIQ;R;false;false
UNCHOC;Chocolate;ADUNIQ;R;false;false
UNIQ1;Service 1;ADUNIQ;R;false;false
UNIQ10;Service 10;ADUNIQ;R;false;false
UNIQ11;Service 11;ADUNIQ;R;false;false
UNIQ2;Service 2;ADUNIQ;R;false;false
UNIQ3;Service 3;ADUNIQ;R;false;false
UNIQ4;Service 4;ADUNIQ;R;false;false
UNIQ5;Service 5;ADUNIQ;R;false;false
UNIQ6;Service 6;ADUNIQ;R;false;false
UNIQ7;Service 7;ADUNIQ;R;false;false
UNIQ8;Service 8;ADUNIQ;R;false;false
UNIQ9;Service 9;ADUNIQ;R;false;false
VISACR;ALL VISA Hotel Credit;ADUNIQ;H;false;false
WITWIN;White Wine;ADUNIQ;R;false;false
AIRACT;Air activities;SPORTA;P;false;false
ATHLET;Athletics stadium;SPORTA;P;false;false
BADMIN;Badminton;SPORTA;P;false;false
BASKET;Basketball facilities;SPORTA;P;false;false
BILLI;Billiards\/​Snooker;SPORTA;P;false;false
BOULE;Bowling;SPORTA;P;false;false
BOULES;Boules\/​petanque;SPORTA;P;false;false
CROQUE;Croquet;SPORTA;P;false;false
DARTS;Darts;SPORTA;P;false;false
EQUI;Horse riding;SPORTA;P;false;false
FLYFOX;Flying fox;SPORTA;P;false;false
FOOT;Football;SPORTA;P;false;false
JOGI;Jogging track;SPORTA;P;false;false
KART;Karting facilities;SPORTA;P;false;false
PADEL;Padel;SPORTA;P;false;false
PATI;Skating rink;SPORTA;P;false;false
QUADBK;Quad bikes;SPORTA;P;false;false
ROLL;Roller-skating;SPORTA;P;false;false
SQUA;Squash court;SPORTA;P;false;false
TABLE;Tennis Table;SPORTA;P;false;false
TARC;Archery;SPORTA;P;false;false
VOLLEY;Volley ball facilities;SPORTA;P;false;false
A1A;App 1 Bedroom Dlx;ROOMAP;A;true;false
A1B;App 1 Bedroom Sup;ROOMAP;A;true;false
A1BD;App 1 bedroom Dlx;ROOMAP;A;true;false
A1BE;App 1 bedroom Exec;ROOMAP;A;true;false
A1C;App 1 Bedroom Std;ROOMAP;A;true;false
A1CBC;App 1 Bedroom Std Balcony;ROOMAP;A;true;false
A1CZ;App 1 Bedroom Std NS;ROOMAP;A;true;false
A2A;App 2 Bedroom Dlx;ROOMAP;A;true;false
A2B;App 2 Bedrooms Sup;ROOMAP;A;true;false
A2BE;App  2 bedrooms Exec;ROOMAP;A;true;false
A2C;App 2 Bedrooms Std;ROOMAP;A;true;false
A3B;App 3 Bedrooms Sup;ROOMAP;A;true;false
A3BE;App 3 bedrooms Exec;ROOMAP;A;true;false
A3BS;3 Bedroom Apartment;ROOMAP;A;true;false
A3C;App 3 Bedrooms Std;ROOMAP;A;true;false
A4C;App 4 Bedrooms Std;ROOMAP;A;true;false
A5B;Penthouse 5 bedrooms Kg bed Pre OF;ROOMAP;A;true;false
AAA;App 3 Db beds Dlx;ROOMAP;A;true;false
AAB;App 3 Db beds Sup;ROOMAP;A;true;false
ABA;App 1Db + 2Sg beds Dlx;ROOMAP;A;true;false
ABB;App 1Db + 2Sg beds Sup;ROOMAP;A;true;false
ABBDP;App 1Db+2Sg beds Sup Duplex;ROOMAP;A;true;false
ABC;App 1Db + 2Sg beds Std;ROOMAP;A;true;false
ACA;App 1 Db bed + Sofa Dlx;ROOMAP;A;true;false
ACB;App 1 Db bed + Sofa Sup;ROOMAP;A;true;false
ACC;App 1 Db bed + Sofa Std;ROOMAP;A;true;false
ACCCI;App 1 Db bed + Sofa Std City S;ROOMAP;A;true;false
ADA;App 1 Db bed Dlx;ROOMAP;A;true;false
ADB;App 1 Db bed Sup;ROOMAP;A;true;false
ADBBC;App 1 Db bed Sup Balcony;ROOMAP;A;true;false
ADBFV;App 1 Db bed Sup Forest V;ROOMAP;A;true;false
ADBGV;App 1 Db bed Sup Golf V;ROOMAP;A;true;false
ADC;App 1 Db bed Std;ROOMAP;A;true;false
ADDBC;App 1 Db bed Clc Balcony;ROOMAP;A;true;false
AEA;App 2 Db beds Dlx;ROOMAP;A;true;false
AEAGS;App 2 Db beds Dlx Garden S;ROOMAP;A;true;false
AEAGV;App 2 Db beds Dlx Golf V;ROOMAP;A;true;false
AEB;App 2 Db beds Sup;ROOMAP;A;true;false
AEBBC;App 2 Db beds Sup Balcony;ROOMAP;A;true;false
AEBDP;App 2 Db beds Sup Duplex;ROOMAP;A;true;false
AEBGV;App 2 Db beds Sup Golf V;ROOMAP;A;true;false
AEC;App 2 Db beds Std;ROOMAP;A;true;false
AECDP;App 2 Db beds Std Duplex;ROOMAP;A;true;false
AFB;App 1 Qn bed Sup;ROOMAP;A;true;false
AFC;App 1 Qn bed Std;ROOMAP;A;true;false
AFCOV;App 1 Qn bed Std Ocean V;ROOMAP;A;true;false
AGC;App 1Qn+1Sg beds Std;ROOMAP;A;true;false
AHA;App 1Qn+2Sg beds Dlx;ROOMAP;A;true;false
AHB;App 1Qn+2Sg beds Sup;ROOMAP;A;true;false
AHC;App 1Qn+2Sg beds Std;ROOMAP;A;true;false
ROU;Produit Interm\u00E9diaire 6;XXXX;;false;false
ROV;Produit Interm\u00E9diaire 4;XXXX;;false;false
ROW;Produit Interm\u00E9diaire 5;XXXX;;false;false
ROX;Produit Interm\u00E9diaire;XXXX;;false;false
ROY;Produit Interm\u00E9diaire 2;XXXX;;false;false
ROZ;Produit Interm\u00E9diaire 3;XXXX;;false;false
SGBGPP;MICE;ASASEG;Z;false;false
SGBGPR;Room for business groups only;ASASEG;Z;false;false
SGBTIC;Individual business traveller;ASASEG;Z;false;false
SGLEIT;IT;ASASEG;Z;false;false
SGLGPP;Ad hoc leisure groups;ASASEG;Z;false;false
SGLGPS;Recurrent leisure groups;ASASEG;Z;false;false
BATH;Bathtub;BATH;R;false;false
BATHIT;Italian shower experience;BATH;R;false;false
BATHOP;Opened bathroom;BATH;R;false;false
BATHYD;Hydrotherapy bathtub;BATH;R;false;false
BIDET;Bidet;BATH;R;false;false
HAIRD;Hair dryer in bathroom;BATH;R;false;false
HAIRD1;Hair dryer at reception;BATH;R;false;false
JACCUZ;Jacuzzi;BATH;R;false;false
LEDSHW;Shower head with LEDs;BATH;R;false;false
MAKE;Make-up\/​magnifying mirror;BATH;R;false;false
MTBATH;Bathroom material;BATH;R;false;false
PRDE10;Product by default;BATH;R;false;false
PRDE11;Product by default;BATH;R;false;false
PRDE12;Product by default;BATH;R;false;false
PRDE13;Product by default;BATH;R;false;false
PRDE14;Product by default;BATH;R;false;false
PRDE15;Product by default;BATH;R;false;false
PRDE16;Product by default;BATH;R;false;false
PRDE17;Product by default;BATH;R;false;false
PRDE18;Product by default;BATH;R;false;false
PRDE19;Product by default;BATH;R;false;false
PRDE20;Product by default;BATH;R;false;false
PRDE21;Product by default;BATH;R;false;false
PRDE22;Product by default;BATH;R;false;false
PRDE23;Product by default;BATH;R;false;false
PRDE24;Product by default;BATH;R;false;false
PRDE25;Product by default;BATH;R;false;false
PRDE26;Product by default;BATH;R;false;false
PRDE27;Product by default;BATH;R;false;false
PRDE28;Product by default;BATH;R;false;false
PRDE29;Product by default;BATH;R;false;false
PRDE30;Product by default;BATH;R;false;false
PRDE31;Product by default;BATH;R;false;false
PRDE32;Product by default;BATH;R;false;false
PRDE33;Product by default;BATH;R;false;false
PRDE34;Product by default;BATH;R;false;false
PRDE35;Product by default;BATH;R;false;false
PRDE36;Product by default;BATH;R;false;false
PRDE37;Product by default;BATH;R;false;false
PRDE38;Product by default;BATH;R;false;false
PRDE39;Product by default;BATH;R;false;false
PRDE40;Product by default;BATH;R;false;false
PRDE41;Product by default;BATH;R;false;false
PRDE42;Product by default;BATH;R;false;false
PRDE43;Product by default;BATH;R;false;false
PRDE44;Product by default;BATH;R;false;false
PRDE45;Product by default;BATH;R;false;false
PRDE46;Product by default;BATH;R;false;false
PRDE47;Product by default;BATH;R;false;false
PRDE48;Product by default;BATH;R;false;false
BIKRAC;Bike rack facilities;BIKE;H;false;false
BACGS;Bgw 1Db + 1Sg beds Std Garden S;ROOMBU;A;true;false
BACLG;Bgw 1Db + 1Sg beds Std Lagoon V;ROOMBU;A;true;false
BBCGS;Bgw 1Db + 2Sg beds Std Garden S;ROOMBU;A;true;false
BCC;Bgw 1Qn+2Sg beds Std;ROOMBU;A;true;false
BDA;Bgw 1 Db bed Dlx;ROOMBU;A;true;false
BDALG;Bgw 1 Db bed Dlx Lagoon V;ROOMBU;A;true;false
BDANV;Bgw 1 Db bed + 1sg bed Dlx Pan V;ROOMBU;A;true;false
BDAOW;Bgw 1 Db bed Dlx Overwater;ROOMBU;A;true;false
BDBBH;Bgw 1 Db bed Sup On Beach;ROOMBU;A;true;false
BDBGS;Bgw 1 Db bed Sup Garden S;ROOMBU;A;true;false
BDBLG;Bgw 1 Db bed Sup Lagoon V;ROOMBU;A;true;false
BDBOW;Bgw 1 Db bed Sup Overwater;ROOMBU;A;true;false
BDC;Bgw 1 Db bed Std;ROOMBU;A;true;false
BDDGS;Bgw 1 Dbl bed Clc Garden S;ROOMBU;A;true;false
BEABH;Bgw 1Db bed+Sofa Dlx On Beach;ROOMBU;A;true;false
BEAOW;Bgw 1Db bed+Sofa Dlx Overwater;ROOMBU;A;true;false
BEBGS;Bgw 1Db bed+Sofa Sup Garden S;ROOMBU;A;true;false
BEBOS;Bgw 1Db bed+Sofa Sup Ocean S;ROOMBU;A;true;false
BECGS;Bgw 1Db bed+Sofa Std Garden S;ROOMBU;A;true;false
BECLG;Bgw 1Db bed+Sofa Std Lagoon V;ROOMBU;A;true;false
BG1;Bungalow 1 Bedroom;ROOMBU;A;true;false
BG2;Bunglaow 2 Bedrooms;ROOMBU;A;true;false
BG3;Bungalow 3 Bedrooms;ROOMBU;A;true;false
BG4;Bungalow 4 Bedrooms;ROOMBU;A;true;false
BKABH;Bgw 1 Kg bed Dlx On Beach;ROOMBU;A;true;false
BKAGS;Bgw 1 Kg bed Dlx Garden S;ROOMBU;A;true;false
BKALG;Bgw 1 Kg bed Dlx Lagoon V;ROOMBU;A;true;false
BKAOW;Bgw 1 Kg bed Dlx Overwater;ROOMBU;A;true;false
BKBBH;Bgw 1 Kg bed Sup On Beach;ROOMBU;A;true;false
BKBGS;Bgw 1 Kg bed Sup Garden S;ROOMBU;A;true;false
BKBLG;Bgw 1 Kg bed Sup Lagoon V;ROOMBU;A;true;false
BKBOW;Bgw 1 Kg bed Sup Overwater;ROOMBU;A;true;false
BTAOW;Bgw 2 Sg beds Dlx Overwater;ROOMBU;A;true;false
BTBGS;Bgw 2 Sg beds Sup Garden S;ROOMBU;A;true;false
BTC;Bgw 2 Sg beds Std;ROOMBU;A;true;false
BTCGS;Bgw 2 Sg beds Std Garden S;ROOMBU;A;true;false
BTCLG;Bgw 2 Sg beds Std Lagoon V;ROOMBU;A;true;false
BTCOV;Bgw 2 Sg beds Std Ocean V;ROOMBU;A;true;false
NATTSR;TST NAT;ROOMBU;A;true;false
AIR;Airline desk;BUSLEI;S;false;false
BAGA;Porter;BUSLEI;S;false;false
BAGAGL;Porterage - Leisure Group;BUSLEI;H;false;false
BKGFEE;Call Center booking Fee;BUSLEI;Z;false;false
BLAN;Dry cleaning \/​ Ironing;BUSLEI;S;false;false
BSDISC;Business specific discounts;BUSLEI;Z;false;false
BSOTH1;Business specific conditions 1;BUSLEI;Z;false;false
BSOTH2;Business specific conditions 2;BUSLEI;Z;false;false
BURE;Currency exchange;BUSLEI;Z;false;false
BUSCRT;Secretarial and conciergerie services;BUSLEI;Z;false;false
BUSINA;Business center with support staff;BUSLEI;S;false;false
BUSINE;Self service business centre;BUSLEI;S;false;false
BUSINT;Business Internet services;BUSLEI;Z;false;false
BUSPAC;Business Package WIFI Breakfast;BUSLEI;S;false;false
BUTLER;Butler;BUSLEI;Z;false;false
BUTLSR;Dedicated butler service;BUSLEI;H;false;false
CARELE;Electric car recharge terminals;BUSLEI;H;false;false
CASHDI;Cash machine;BUSLEI;S;false;false
CLOUNG;Connectivity lounge;BUSLEI;H;false;false
COFR;Safe deposit box at reception;BUSLEI;S;false;false
COMPUT;Computer hire facilities;BUSLEI;S;false;false
CONC;Concierge;BUSLEI;S;false;false
COPY;Copy\/​print service available;BUSLEI;S;false;false
DON;Donation;BUSLEI;Z;false;false
DWCONC;Concierge;BUSLEI;S;false;false
DWPLUS;Web enhanced hotel description;BUSLEI;Z;false;false
EXELO;Executive Lounge;BUSLEI;Z;false;false
FACSI2;Fax machine;BUSLEI;S;false;false
FREEF;Free fax to local numbers;BUSLEI;S;false;false
FREEP;Free local telephone calls;BUSLEI;S;false;false
HDPHON;Headphones;BUSLEI;S;false;false
HELICO;Helicopter;BUSLEI;H;false;false
HOSTES;Hostess service;BUSLEI;H;false;false
INTERN;Internet connectivity;BUSLEI;S;false;false
INTHD;High-speed Internet;BUSLEI;H;false;false
INTHSR;High-speed Internet in your room;BUSLEI;Z;false;false
LAUND;Laundromat;BUSLEI;S;false;false
LIMOUS;Limousine;BUSLEI;H;false;false
LOCA;Car hire service desk;BUSLEI;S;false;false
MILESI;Vintage Club;BUSLEI;Z;false;false
MOBILE;Mobile phone hire facilities;BUSLEI;S;false;false
MTICK;Museum Tickets;BUSLEI;S;false;false
PASS;Pass;BUSLEI;H;false;false
PLUGAD;Plugs and converters available on desks;BUSLEI;S;false;false
POSTE;Postal mail & package services;BUSLEI;H;false;false
PRESSG;Pressing;BUSLEI;Z;false;false
PRFOTO;Camera loan;BUSLEI;Z;false;false
PSHOP;Personal Shopper;BUSLEI;R;false;false
REPASS;Ironing room;BUSLEI;Z;false;false
SECR;Secretarial service typing​;BUSLEI;S;false;false
CHIAI1;All inclusive supplement for children 1;SUPCHI;M;false;true
CHIAI2;All inclusive supplement for children 2;SUPCHI;M;false;true
CHIAI3;All inclusive supplement for children 3;SUPCHI;M;false;true
CHIFB1;Full board supplement for children 1;SUPCHI;M;false;true
CHIFB2;Full board supplement for children 2;SUPCHI;M;false;true
CHIFB3;Full board supplement for children 3;SUPCHI;M;false;true
CHIHB1;Half board supplement for children 1;SUPCHI;M;false;true
CHIHB2;Half board supplement for children 2;SUPCHI;M;false;true
CHIHB3;Half board supplement for children 3;SUPCHI;M;false;true
CHIMB1;Breakfast supplement for children 1;SUPCHI;B;false;true
CHIMB2;Breakfast supplement for children 2;SUPCHI;B;false;true
CHIMB3;Breakfast supplement for children 3;SUPCHI;B;false;true
CHIRO1;Accommodation supplement for children 1;SUPCHI;R;false;true
CHIRO2;Accommodation supplement for children 2;SUPCHI;R;false;true
CHIRO3;Accommodation supplement for children 3;SUPCHI;R;false;true
CHABIB;Bottle Warmer;CHILDR;Z;false;false
CL>12;Children\s Club for over 12s;CHILDR;P;false;false
CL0-3;Children\s Club for 0 to 3 years;CHILDR;P;false;false
CL3-6;Children\s Club for 3 to 6 years;CHILDR;P;false;false
CL46;Children\s Club for 4 to 6 years;CHILDR;P;false;false
CL6-12;Childrens Club for 6 to 12 years;CHILDR;P;false;false
GAME;Video game area;CHILDR;P;false;false
NURSE;Babysitting on request;CHILDR;P;false;false
PLAY;Outdoor playground for children;CHILDR;P;false;false
PLAYGI;Indoor playground for children;CHILDR;P;false;false
REHAU;Booster seat;CHILDR;Z;false;false
ACCOMO;Accommodation;SEMIN;S;false;false
ADJLIT;Adjustable lighting;SEMIN;S;false;false
AIRCOM;Airconditioned meeting room;SEMIN;Z;false;false
AUDITO;Auditorium;SEMIN;S;false;false
BOL;Book online;SEMIN;S;false;false
BRKROO;Breakout rooms available;SEMIN;S;false;false
BUFFET;Fine Cuisine;SEMIN;S;false;false
CAPMAX;Max. capacity of meeting rooms;SEMIN;Z;false;false
CATER;Catering available;SEMIN;Z;false;false
CONGRS;Congress Center;SEMIN;S;false;false
CONVEN;Conventions hotel;SEMIN;S;false;false
DANCE;Dance floor;SEMIN;Z;false;false
DAYLIT;Day light;SEMIN;Z;false;false
DIGSIG;Interactive digital signage;SEMIN;S;false;false
DWMEE1;Web meeting room description 1;SEMIN;S;false;false
DWMEE2;Web meeting room description 2;SEMIN;S;false;false
DWMEE3;Web meeting room description  3;SEMIN;Z;false;false
DWWED;Web wedding facilities;SEMIN;S;false;false
FLICHA;Flipchart;SEMIN;S;false;false
FODBEV;Food & beverage;SEMIN;H;false;false
HIGHT2;High speed transmission line;SEMIN;Z;false;false
HONEYM;Honeymoon;SEMIN;S;false;false
HOTBUS;Certified Business Hotel;SEMIN;Z;false;false
HOTCON;Hotel connected to conv. centre;SEMIN;Z;false;false
HOTCVN;Conference hotel;SEMIN;Z;false;false
IMMLIT;Immersive lighting;SEMIN;S;false;false
INOUT;Indoor and Outdoor facilities;SEMIN;S;false;false
LASPOI;Laser pointers;SEMIN;S;false;false
LCDPLA;LCD Plasma display;SEMIN;S;false;false
LECTER;Lectern;SEMIN;Z;false;false
LOBMEE;Large pre-function spaces;SEMIN;S;false;false
MAV;Audio and video equipment;SEMIN;S;false;false
MEETRM;Meeting room;SEMIN;S;false;false
MODMAX;Number modular rooms available;SEMIN;Z;false;false
MODMEE;Modular meeting rooms;SEMIN;S;false;false
MPHONE;Landline;SEMIN;S;false;false
MTROOM;Generic Meeting Room MTGxxx;SEMIN;S;false;false
NBMTG;Number of meeting rooms;SEMIN;Z;false;false
NOPILL;No pillars in meeting rooms;SEMIN;Z;false;false
NOVACT;Concept proact;SEMIN;H;false;false
NOVMEE;Concept meeting AT novotel;SEMIN;H;false;false
NOVWRK;Concept READY TO WORK;SEMIN;H;false;false
OFFICE;Office;SEMIN;Z;false;false
OVEPRO;Overhead projector;SEMIN;Z;false;false
PODIUM;Podium;SEMIN;Z;false;false
POWSOC;Power sockets;SEMIN;S;false;false
PUPITR;Pupitre;SEMIN;S;false;false
REMOSY;Remote control system;SEMIN;S;false;false
RENTAL;Kitchen & restaurant hire available;SEMIN;Z;false;false
RESMAX;Max capacity residential confnce;SEMIN;Z;false;false
BLECO;Water efficient laundry;ENVIR;H;false;false
CARBON;Carbon measure kg CO2e per room-night​;ENVIR;H;false;false
ENERG;Energy measure\r\nkWh\/​m\u00B2​;ENVIR;H;false;false
FPGRE;Training on the environment;ENVIR;H;false;false
ICCHEE;Central switch;ENVIR;H;false;false
LBCCH;Eco-bulbs in the rooms;ENVIR;H;false;false
LBCER;Eco-bulbs used for 24-hour lighting;ENVIR;H;false;false
MATECO;Eco-friendly materials in the rooms;ENVIR;H;false;false
NOPOR;Seafood;ENVIR;H;false;false
PASCHE;Solar panels for DHW;ENVIR;H;false;false
PCERIH;Certified paper;ENVIR;H;false;false
PECTS;Fight against sex tourism;ENVIR;H;false;false
PENECO;Cleaning products;ENVIR;H;false;false
PLESR;Balanced diet;ENVIR;H;false;false
PROCDH;Sustainable trade products;ENVIR;H;false;false
PROLOR;Purchase of locally produced food;ENVIR;H;false;false
RCHA;Recovery of energy from ventilation;ENVIR;H;false;false
RECDA;Organic waste recycling;ENVIR;H;false;false
RECPAC;Paper\/​cardboard recycling;ENVIR;H;false;false
RECPIB;Battery recycling;ENVIR;H;false;false
RECVER;Glass recycling;ENVIR;H;false;false
REGOR;Flow regulators;ENVIR;H;false;false
REOPEV;Recovery of rainwater;ENVIR;H;false;false
RESC;Reuse of towels;ENVIR;H;false;false
WASTE;Recycling rate\r\n%​;ENVIR;H;false;false
WATER2;Water measure\r\nLiters per room-night​;ENVIR;H;false;false
DISC;Disco\/​nightclub;DISCO;Z;false;false
KARA;Karaoke-luxury;DISCO;Z;false;false
DO4F;1 Single bed Female Dormitory;ROOMDO;A;true;false
DO4M;1 Single bed Mixt Dormitory;ROOMDO;A;true;false
DOR10;10 single bed shared mixed room;ROOMDO;A;true;false
DOR3;3 single bed shared mixed room;ROOMDO;A;true;false
DOR4;4 single bed shared mixed room;ROOMDO;A;true;false
DOR4F;4 single bed shared female room;ROOMDO;A;true;false
DOR5;5 single bed shared mixed room;ROOMDO;A;true;false
DOR5F;5 single bed shared  female room;ROOMDO;A;true;false
DOR6F;1 Single bed Female Dormitory;ROOMDO;A;true;false
DOR6M;1 Single bed Male Dormitory;ROOMDO;A;true;false
DOR8;8 single bed shared mixed room;ROOMDO;A;true;false
DORM8F;8 Sg beds STD;ROOMDO;A;true;false
DORM8M;16 Sg beds STD;ROOMDO;A;true;false
DORXF;X single bed shared female room;ROOMDO;A;true;false
DORXM;X single bed shared mixed room;ROOMDO;A;true;false
DORXP;X single bed shared private room;ROOMDO;A;true;false
S3CMIX;3 Sg beds STD Mix;ROOMDO;A;true;false
S3CW;3 Sg beds STD for women;ROOMDO;A;true;false
S8CMIX;8 Sg beds STD hostel mix;ROOMDO;A;true;false
S8CW;8 Sg beds STD hostel for women;ROOMDO;A;true;false
ANTIA;Anti-ageing treatment;BEAUTE;P;false;false
BEASP1;Beauty treatments;BEAUTE;P;false;false
BEASPA;Beauty treatments;BEAUTE;P;false;false
CAREHF;Care of hands and feet;BEAUTE;P;false;false
CUV;UV Cabins;BEAUTE;P;false;false
HAICA;Hair care;BEAUTE;P;false;false
SALCO;Sales of Cosmetics;BEAUTE;P;false;false
AQUABI;Aquaaerobics;FORME;P;false;false
BAIRE;Spa bath;FORME;P;false;false
BAIRE1;Spa bath;FORME;P;false;false
BAIRE2;Spa bath;FORME;P;false;false
BAIRE3;Spa bath;FORME;P;false;false
GYMCO;Gymnastics course;FORME;P;false;false
POOSHC;Heated seawater pool;FORME;P;false;false
EXCUR1;Excursions;EXCURS;P;false;false
EXCURS;Excursions;EXCURS;P;false;false
BAIBB;Baby bathtub;FAMILY;Z;false;false
BBKIT;Baby Kit;FAMILY;Z;false;false
BIBLIO;Children\s library;FAMILY;Z;false;false
BNPLA2;Great family deal 2;FAMILY;Z;false;false
BNPLA3;Great family deal 3;FAMILY;Z;false;false
BNPLAN;Great family deal 1;FAMILY;Z;false;false
CHMENU;Kids\ menu;FAMILY;Z;false;false
ESCJEU;Play area;FAMILY;Z;false;false
ESPVER;Green area;FAMILY;Z;false;false
FCHILD;Free for children;FAMILY;Z;false;false
IPET;Pets allowed;FAMILY;Z;false;false
IXTADB;Extra bed in room for adult;FAMILY;R;false;false
IXTCHB;Extra bed in room for child;FAMILY;R;false;false
IXTCR;Crib in room (Option, guaranteed)​;FAMILY;R;false;false
JEUSTE;Board games available;FAMILY;Z;false;false
POUSS;Stroller rental;FAMILY;Z;false;false
TVCDA;Cartoon TV channels;FAMILY;Z;false;false
TVCM;Music TV channels;FAMILY;Z;false;false
VELENF;Bicycles with children\s seats;FAMILY;Z;false;false
CLINKI;Cleaning kit;FB_IN;Z;false;false
COCKHR;Cocktail hour;FB_IN;H;false;false
COFFE;Coffee\/​tea making facilities;FB_IN;Z;false;false
COFFE1;Coffee\/​tea making facilities;FB_IN;Z;false;false
COFMAK;Coffee maker;FB_IN;Z;false;false
COKTOP;Ceramic glass cooktop;FB_IN;Z;false;false
DCLEAN;Daily housekeeping;FB_IN;R;false;false
DISTRI;Drink vending machine;FB_IN;Z;false;false
DWASHE;Dishwasher;FB_IN;Z;false;false
ESPRSO;In-room Espresso machine;FB_IN;R;false;false
ESTOVE;Electric stove;FB_IN;Z;false;false
EXTRAC;Kitchen extractor fan;FB_IN;Z;false;false
FRIDGE;Fridge;FB_IN;Z;false;false
FURKIT;Furnished kitchen;FB_IN;Z;false;false
KITCHE;Full kitchen;FB_IN;Z;false;false
MICRO;Microwave in room;FB_IN;Z;false;false
MINIBA;Minibar;FB_IN;Z;false;false
TEAHRB;Herbal Tea Turndown;FB_IN;H;false;false
TEAPM;Afternoon tea;FB_IN;H;false;false
TEAPM1;Afternoon tea;FB_IN;H;false;false
S2D;Family Room Clc;ROOMS2;A;true;false
S2D5;Family Room 5 pax​;ROOMS2;A;true;false
S2D6;Family Room 6 pax​;ROOMS2;A;true;false
S2E;FAMILY ROOM EXECUTIVE;ROOMS2;A;true;false
AMMA;Seated amma relaxation;FITNES;P;false;false
AREALO;Lounge area;FITNES;Z;false;false
BICMAC;Exercise bikes;FITNES;P;false;false
CARDTO;Cardio vascular equipment;FITNES;P;false;false
DWSPA;SPA Description;FITNES;P;false;false
FITCO;Fitness coach;FITNES;P;false;false
FITE;Fitness centre;FITNES;P;false;false
FITMAC;Fitness machines;FITNES;P;false;false
FITSCR;Fitness machines with individual screens;FITNES;P;false;false
